date,nav,in_position,gld_price,daily_log_ret,signal,stop_fired,trading_cost_cumul
2026-06-24,10000.0,False,368.5799865722656,0.0,OFF,False,0.0
2026-06-25,10001.495392233976,False,369.4599914550781,0.0001495280435225,OFF,False,0.0
2026-06-26,10002.991008087747,False,373.6300048828125,0.0001495280435225,OFF,False,0.0
2026-06-29,10004.48684759475,False,369.0499877929688,0.0001495280435225,OFF,False,0.0
2026-06-30,10005.994380521546,False,368.3800048828125,0.0001506743303635,OFF,False,0.0
2026-07-01,10007.494493337752,False,370.6000061035156,0.0001499101759287,OFF,False,0.0
2026-07-02,10008.983355670614,False,378.1300048828125,0.0001487636682976,OFF,False,0.0
2026-07-06,10010.4915661568,False,382.1300048828125,0.0001506743303635,OFF,False,0.0
2026-07-07,10011.9961787365,False,377.489990234375,0.00015029227154,OFF,False,0.0
2026-07-08,10013.501017464834,False,374.4500122070313,0.00015029227154,OFF,False,0.0
2026-07-09,10014.994601207192,False,378.1799926757813,0.0001491458743146,OFF,False,0.0
2026-07-10,10016.4960633492,False,377.010009765625,0.0001499101759287,OFF,False,0.0
2026-07-13,10018.013059725175,False,367.1300048828125,0.0001514383376759,OFF,False,0.0
2026-07-14,10019.53028584996,False,372.1499938964844,0.0001514383376759,OFF,False,0.0
2026-07-15,10021.047741758342,False,372.6400146484375,0.0001514383376759,OFF,False,0.0
2026-07-16,10022.546281455276,False,364.9599914550781,0.00014952804352253771,OFF,False,0.0
2026-07-17,10024.045045242672,False,368.4100036621094,0.00014952804352253771,OFF,False,0.0
2026-07-20,10025.544033154041,False,367.81500244140625,0.00014952804352253771,OFF,False,0.0
