Cohort,OT2.0 Sharpe,OT2.0 CAGR,OT2.0 MaxDD,Cohort B&H Sharpe,Cohort B&H CAGR,SPX Sharpe,SPX CAGR
1993-1995,1.073,28.08%,-14.7%,1.074,30.28%,0.867,12.51%
1996-1998,1.239,28.18%,-12.1%,1.329,40.75%,1.057,25.74%
1999-2001,-0.602,-6.90%,-45.5%,-0.260,-4.28%,-0.328,-2.23%
2002-2004,0.166,3.72%,-23.3%,0.011,1.58%,-0.011,1.11%
2005-2007,1.348,27.50%,-14.6%,1.410,34.31%,0.252,7.35%
2008-2010,0.350,5.14%,-21.8%,0.111,3.96%,-0.145,-3.78%
2011-2013,1.273,22.23%,-15.1%,0.924,22.48%,0.752,13.38%
2014-2016,0.460,6.82%,-12.7%,0.596,11.20%,0.518,7.33%
2017-2019,1.207,18.53%,-13.0%,1.094,22.15%,0.795,12.53%
2020-2022,0.584,9.45%,-15.9%,0.386,12.23%,0.183,5.62%
2023-2025,0.316,8.57%,-14.9%,0.159,7.24%,0.981,21.27%
2026-present (Live),0.166,6.59%,-11.5%,0.506,14.73%,0.873,17.10%
